group,path,width,height,lap_var,hf_ratio,resid_rms,lap_var_scaled,hf_ratio_scaled,resid_rms_scaled,noise_index
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_205442.png,1024,1024,0.022469,0.010962,0.03333,0.707457,0.381153,0.627668,57.21
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_205606.png,1024,1024,0.009927,0.008762,0.026824,0.158119,0.239424,0.298383,23.2
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_205730.png,1024,1024,0.024736,0.009733,0.033919,0.806746,0.301961,0.657458,58.87
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_205850.png,1024,1024,0.01084,0.009308,0.027047,0.198131,0.274629,0.309644,26.08
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_205948.png,1024,1024,0.011952,0.024924,0.033909,0.246834,1.0,0.656939,63.46
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_210045.png,1024,1024,0.012843,0.009266,0.029776,0.285823,0.271923,0.447784,33.52
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_210144.png,1024,1024,0.0189,0.013123,0.035126,0.551104,0.520316,0.718527,59.66
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_210242.png,1024,1024,0.015437,0.0094,0.031397,0.399463,0.280536,0.529837,40.33
ALL,all_images_h2/prompt-frozen_steps-25/Papaoutai_20250818_210342.png,1024,1024,0.010957,0.015583,0.029534,0.203228,0.678742,0.435538,43.92
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_204143.png,1024,1024,0.004687,0.005929,0.019478,0.0,0.057023,0.0,1.9
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_204303.png,1024,1024,0.006223,0.00486,0.020946,0.0,0.0,0.000907,0.03
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_204422.png,1024,1024,0.009114,0.008898,0.023833,0.12251,0.248217,0.147009,17.26
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_204543.png,1024,1024,0.024157,0.01674,0.034376,0.781375,0.75329,0.680572,73.84
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_204704.png,1024,1024,0.01274,0.008029,0.026288,0.281315,0.192216,0.271234,24.83
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_204803.png,1024,1024,0.010524,0.011836,0.025807,0.184285,0.437399,0.246916,28.95
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_204901.png,1024,1024,0.029007,0.01978,0.037771,0.993774,0.949069,0.852403,93.17
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_204958.png,1024,1024,0.021074,0.012576,0.032101,0.64634,0.485094,0.565427,56.56
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_205058.png,1024,1024,0.019874,0.012493,0.033361,0.593772,0.479722,0.629246,56.76
ALL,all_images_h2/prompt-frozen_steps-25/Sade_(Smooth_Operator)_20250818_205158.png,1024,1024,0.02052,0.010875,0.036731,0.622091,0.375513,0.799763,59.91
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203003.png,1024,1024,0.010961,0.008669,0.024533,0.203419,0.233437,0.182446,20.64
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203123.png,1024,1024,0.016972,0.012102,0.030076,0.466661,0.454558,0.462959,46.14
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203240.png,1024,1024,0.022283,0.012852,0.033895,0.699273,0.502861,0.65625,61.95
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203401.png,1024,1024,0.032658,0.020565,0.040668,1.0,0.999639,0.999021,99.96
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203525.png,1024,1024,0.017064,0.010413,0.030719,0.470689,0.345805,0.495487,43.73
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203623.png,1024,1024,0.013594,0.008638,0.025261,0.318747,0.231438,0.219262,25.65
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203720.png,1024,1024,0.018913,0.014784,0.03233,0.551677,0.627295,0.577018,58.53
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203819.png,1024,1024,0.009634,0.011599,0.025421,0.145293,0.422174,0.227373,26.49
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_203919.png,1024,1024,0.012677,0.007287,0.023634,0.27855,0.144447,0.136914,18.66
ALL,all_images_h2/prompt-frozen_steps-25/Smells_Like_Teen_Spirit_20250818_204020.png,1024,1024,0.04268,0.019966,0.044589,1.0,0.96104,1.0,98.7
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_191825.png,1024,1024,0.016722,0.007409,0.029962,0.455711,0.152341,0.457212,35.51
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_191958.png,1024,1024,0.007577,0.004847,0.020588,0.055222,0.0,0.0,1.84
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_192125.png,1024,1024,0.014077,0.006361,0.026597,0.339886,0.084801,0.286874,23.72
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_192248.png,1024,1024,0.01009,0.005418,0.024032,0.165267,0.024051,0.157044,11.55
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_192407.png,1024,1024,0.013303,0.007186,0.026724,0.306002,0.137955,0.293301,24.58
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_192505.png,1024,1024,0.008521,0.004923,0.022729,0.096527,0.0,0.091119,6.25
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_192605.png,1024,1024,0.006727,0.005483,0.021587,0.017971,0.028289,0.033347,2.65
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_192706.png,1024,1024,0.010491,0.007079,0.025108,0.182833,0.131032,0.211511,17.51
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_192808.png,1024,1024,0.007848,0.005645,0.022575,0.067087,0.038697,0.083352,6.3
ALL,all_images_h2/prompt-frozen_steps-25/The_4_Seasons_(Spring)_I__Allegro_20250818_192910.png,1024,1024,0.009245,0.006614,0.025716,0.128263,0.101129,0.242304,15.72
